model_type,trial_id,val_loss,val_accuracy,accuracy,composite_score,num_conv1d_layers,filters,kernel_size,padding,activation,kernel_initializer,add_pooling_0,pool_size,strides,num_dense_layers,units,bias_initializer,dropout_rate,learning_rate,focal_gamma,focal_alpha,add_pooling_1,add_pooling_2
buy_trials_Conv1D,074,1.7348299026489258,0.9950390458106995,0.9950585961341858,1.4931668272018432,3,32,3,valid,relu,glorot_normal,False,3,1,1,32,he_normal,0.5,0.01,2.5,0.1,True,False
buy_trials_Conv1D,075,2.76460337638855,0.9950390458106995,0.994921863079071,1.4922744424343108,1,32,3,same,relu,glorot_normal,False,3,1,2,32,zeros,0.5,0.01,2.5,0.1,False,True
buy_trials_Conv1D,076,2.075716495513916,0.9950390458106995,0.9949023723602295,1.488844260931015,3,32,3,same,gelu,glorot_normal,True,3,2,1,32,he_normal,0.5,0.01,3.0,0.1,False,True
buy_trials_Conv1D,077,3.1407785415649414,0.9950390458106995,0.9949023723602295,1.4918982672691345,3,128,7,same,relu,glorot_normal,False,2,2,2,32,zeros,0.5,0.01,1.0,0.9,False,True
buy_trials_Conv1D,078,1.680137276649475,0.9950390458106995,0.9950000047683716,1.49335890853405,1,32,7,valid,relu,he_normal,False,2,1,1,32,he_normal,0.1,0.01,2.0,0.1,True,False
buy_trials_Conv1D,079,1.7193081378936768,0.9950390458106995,0.994824230670929,1.4937319633960724,1,32,7,same,gelu,he_normal,True,3,2,1,32,zeros,0.2,0.01,3.0,0.5,False,True
buy_trials_Conv1D,080,2.9947965145111084,0.9950390458106995,0.9912890791893005,1.4920442492961883,3,128,7,valid,relu,he_normal,True,2,1,1,32,zeros,0.1,0.01,2.0,0.9,True,False
buy_trials_Conv1D,081,8.372775077819824,0.9950000047683716,0.9947460889816284,1.490347692012787,3,128,3,same,relu,glorot_normal,False,3,2,1,32,zeros,0.5,0.00028465982150818227,1.0,0.9,True,True
buy_trials_Conv1D,082,3.7656023502349854,0.9950390458106995,0.9949609637260437,1.478148858308792,3,32,3,valid,relu,glorot_normal,True,3,2,1,32,zeros,0.1,0.0005398083937080424,3.0,0.7000000000000001,True,False
buy_trials_Conv1D,083,2.5990712642669678,0.9950390458106995,0.9949804544448853,1.4924399745464325,3,32,7,same,gelu,he_normal,True,2,2,1,32,he_normal,0.1,0.01,2.5,0.1,True,True
buy_trials_Conv1D,084,1.6854889392852783,0.9544922113418579,0.9366015791893005,1.4675613753795624,3,32,7,valid,relu,he_normal,True,3,2,1,32,zeros,0.2,0.00018984117650310881,1.0,0.7000000000000001,True,True
buy_trials_Conv1D,085,5.525368690490723,0.9933202862739563,0.9914453029632568,1.4863749859333037,3,32,3,same,relu,glorot_normal,True,2,2,1,32,zeros,0.1,0.0001399855743502144,1.0,0.9,False,True
buy_trials_Conv1D,086,2.3001842498779297,0.9950390458106995,0.9950195550918579,1.4927388615608215,3,32,7,valid,relu,he_normal,True,3,2,2,32,zeros,0.1,0.01,1.0,0.8,False,True
buy_trials_Conv1D,087,4.194680690765381,0.8681640625,0.8146874904632568,1.3611187598705292,3,32,7,valid,relu,he_normal,True,2,2,1,32,he_normal,0.1,0.0001,1.0,0.1,True,False
buy_trials_Conv1D,088,1.7736427783966064,0.9949609637260437,0.9946484565734863,1.4939724333286286,3,32,7,valid,relu,he_normal,True,3,2,1,32,he_normal,0.5,0.0005407004467009079,1.0,0.1,True,True
buy_trials_Conv1D,089,2.058589220046997,0.9950390458106995,0.9950000047683716,1.4929804565906524,3,32,3,same,relu,he_normal,True,2,1,1,32,he_normal,0.5,0.01,1.0,0.1,False,True
buy_trials_Conv1D,090,4.205629825592041,0.9944921731948853,0.9937695264816284,1.4921798849105834,3,32,3,same,relu,glorot_normal,True,3,2,1,32,he_normal,0.1,0.0002236884552798416,1.0,0.1,True,True
buy_trials_Conv1D,091,2.260563611984253,0.9950390458106995,0.9949023723602295,1.4927588424682616,1,32,3,same,relu,he_normal,True,3,1,1,32,zeros,0.1,0.01,1.0,0.1,True,True
buy_trials_Conv1D,092,2.0918073654174805,0.9950390458106995,0.994921863079071,1.492947238445282,1,128,3,same,relu,glorot_normal,False,3,1,1,32,zeros,0.1,0.01,1.0,0.9,False,True
buy_trials_Conv1D,093,3.9342691898345947,0.9949609637260437,0.9939648509025574,1.493914241552353,3,32,7,valid,relu,he_normal,True,2,2,1,32,zeros,0.5,0.0004475758441448982,1.0,0.1,False,True
buy_trials_Conv1D,094,2.2645843029022217,0.9950390458106995,0.9948828220367432,1.4927744615077971,3,64,3,same,relu,glorot_normal,False,2,1,1,32,he_normal,0.5,0.01,2.5,0.9,False,False
