model_type,trial_id,val_loss,val_accuracy,accuracy,composite_score,num_GRU_layers,units_first,activation,kernel_initializer,dropout,recurrent_dropout,num_dense_layers,units,bias_initializer,dropout_rate,learning_rate,focal_gamma,focal_alpha
buy_trials_GRU,057,34.01212692260742,0.9950390458106995,0.9948437213897705,1.461026918888092,1,32,relu,he_normal,0.4,0.4,1,32,zeros,0.1,0.00018522464721812504,3.0,0.9
buy_trials_GRU,058,123.27105712890625,0.9950390458106995,0.9949609637260437,1.3717679886817933,1,128,relu,glorot_normal,0.4,0.1,2,128,zeros,0.5,0.0023326008151415972,3.0,0.1
buy_trials_GRU,059,80.10456848144531,0.9950390458106995,0.9929492473602295,1.4163477034568785,1,32,relu,he_normal,0.1,0.4,1,128,zeros,0.1,0.00017449628427652051,3.0,0.1
buy_trials_GRU,060,160.77146911621094,0.9950390458106995,0.9950000047683716,1.3342675766944885,3,32,relu,glorot_normal,0.1,0.1,1,128,he_normal,0.1,0.0022836857530920034,1.0,0.9
buy_trials_GRU,061,74.8164291381836,0.9950390458106995,0.9771093726158142,1.4215966229438781,1,32,relu,glorot_normal,0.1,0.4,2,128,he_normal,0.5,0.0005445680078584868,3.0,0.1
buy_trials_GRU,062,438.3747253417969,0.9950390458106995,0.9950195550918579,1.0566643204689026,3,32,relu,he_normal,0.30000000000000004,0.4,1,32,zeros,0.1,0.01,3.0,0.30000000000000004
buy_trials_GRU,063,79.03923797607422,0.9950390458106995,0.9949414134025574,1.4159998078346252,1,128,relu,glorot_normal,0.1,0.4,2,128,he_normal,0.1,0.01,1.0,0.1
buy_trials_GRU,064,22.483617782592773,0.9950390458106995,0.9950390458106995,1.4725554280281068,1,32,relu,glorot_normal,0.1,0.4,2,128,zeros,0.5,0.01,1.0,0.1
buy_trials_GRU,065,52.03628921508789,0.9950390458106995,0.9950585961341858,1.4426690599918366,1,32,relu,he_normal,0.4,0.35,1,96,he_normal,0.1,0.0007011989073478253,1.0,0.9
buy_trials_GRU,066,94.3096694946289,0.9950390458106995,0.9948632717132568,1.4007293763160706,3,32,relu,he_normal,0.1,0.1,2,128,zeros,0.1,0.01,3.0,0.9
buy_trials_GRU,067,67.5081787109375,0.9950390458106995,0.9949804544448853,1.427530867099762,1,128,relu,he_normal,0.15000000000000002,0.1,1,128,he_normal,0.1,0.01,1.0,0.9
buy_trials_GRU,068,23.23885726928711,0.9950390458106995,0.9948828220367432,1.4718001885414123,1,32,relu,he_normal,0.1,0.1,1,128,he_normal,0.5,0.01,3.0,0.9
buy_trials_GRU,069,28.59722137451172,0.9950390458106995,0.9951757788658142,1.4664418244361876,3,32,relu,glorot_normal,0.4,0.1,2,32,zeros,0.5,0.01,3.0,0.1
buy_trials_GRU,070,94.53759765625,0.9950390458106995,0.7268359661102295,1.4038888397216798,1,32,relu,he_normal,0.4,0.1,2,32,he_normal,0.5,0.00029532250067725366,3.0,0.1
buy_trials_GRU,071,494.4447021484375,0.9950390458106995,0.9950976371765137,1.000594343662262,3,32,relu,he_normal,0.1,0.30000000000000004,2,32,he_normal,0.2,0.01,3.0,0.1
buy_trials_GRU,072,95.90729522705078,0.9950390458106995,0.9474999904632568,1.4099687690734863,1,32,relu,glorot_normal,0.4,0.4,2,32,he_normal,0.5,0.00010000000000000005,3.0,0.9
buy_trials_GRU,073,68.47655487060547,0.9950390458106995,0.9949609637260437,1.426562490940094,1,128,relu,glorot_normal,0.4,0.4,2,32,he_normal,0.5,0.01,3.0,0.1
buy_trials_GRU,074,128.2178955078125,0.9950390458106995,0.9950585961341858,1.3668211503028869,1,128,relu,glorot_normal,0.4,0.4,1,128,zeros,0.1,0.0011177707251089082,1.0,0.9
buy_trials_GRU,075,134.12254333496094,0.9950390458106995,0.9760546684265137,1.3609165024757386,1,32,relu,he_normal,0.1,0.4,2,128,he_normal,0.1,0.0001,3.0,0.9
buy_trials_GRU,076,181.86367797851562,0.9950000047683716,0.804003894329071,1.2883659179210663,1,96,relu,glorot_normal,0.1,0.15000000000000002,1,128,he_normal,0.1,0.00021310494827022494,1.0,0.1
buy_trials_GRU,077,93.8286361694336,0.004960937425494194,0.04273437336087227,0.3986960901468992,1,32,relu,glorot_normal,0.1,0.4,1,128,zeros,0.1,0.0001,1.0,0.9
buy_trials_GRU,078,96.51441192626953,0.9950390458106995,0.9951367378234863,1.39852463388443,1,128,relu,he_normal,0.4,0.4,2,128,zeros,0.5,0.01,3.0,0.1
buy_trials_GRU,079,47.77763748168945,0.9950390458106995,0.9942578077316284,1.44726140832901,1,32,relu,glorot_normal,0.4,0.1,1,128,zeros,0.1,0.0001,1.0,0.9
buy_trials_GRU,080,313.69854736328125,0.9950390458106995,0.9099414348602295,1.1813404984474183,3,32,relu,glorot_normal,0.1,0.4,2,32,he_normal,0.1,0.0001,3.0,0.9
buy_trials_GRU,081,116.4445571899414,0.9950390458106995,0.7114843726158142,1.3785944886207582,3,32,relu,glorot_normal,0.30000000000000004,0.4,2,32,he_normal,0.5,0.00016695937413304873,3.0,0.1
buy_trials_GRU,082,25.570842742919922,0.9950390458106995,0.994921863079071,1.4694682030677795,1,32,relu,he_normal,0.4,0.1,2,32,he_normal,0.5,0.01,1.0,0.9
buy_trials_GRU,083,35.549217224121094,0.9950390458106995,0.9949804544448853,1.4594898285865783,3,32,relu,glorot_normal,0.4,0.4,2,32,zeros,0.5,0.0026095993088249506,3.0,0.9
buy_trials_GRU,084,78.44405364990234,0.9950390458106995,0.994921863079071,1.4165949921607972,1,128,relu,he_normal,0.1,0.4,1,128,he_normal,0.1,0.01,3.0,0.1
