confluence_score_loss,confluence_score_mae,confluence_score_mse,directional_bias_loss,directional_bias_mae,directional_bias_mse,loss,val_confluence_score_loss,val_confluence_score_mae,val_confluence_score_mse,val_directional_bias_loss,val_directional_bias_mae,val_directional_bias_mse,val_loss,learning_rate
0.07513647526502609,0.2478349208831787,0.07513647526502609,0.0004479994822759181,0.01696297526359558,0.0004479994822759181,0.07549487799406052,0.24651511013507843,0.4965028762817383,0.24651511013507843,0.0004288681666366756,0.019410405308008194,0.0004288681666366756,0.24685820937156677,0.0010000000474974513
0.07504112273454666,0.2476685792207718,0.07504112273454666,0.0004493114538490772,0.01689361408352852,0.0004493114538490772,0.07540056854486465,0.24626758694648743,0.4962535500526428,0.24626758694648743,0.00042069153278134763,0.019198624417185783,0.00042069153278134763,0.24660415947437286,0.0010000000474974513
0.07494597136974335,0.2475023865699768,0.07494597136974335,0.0004503126838244498,0.0168465506285429,0.0004503126838244498,0.07530622184276581,0.24602016806602478,0.496004194021225,0.24602016806602478,0.00041625945596024394,0.019082849845290184,0.00041625945596024394,0.2463531792163849,0.0010000000474974513
0.07485094666481018,0.24733614921569824,0.07485094666481018,0.0004508979036472738,0.01682082563638687,0.0004508979036472738,0.07521166652441025,0.2457731068134308,0.4957551062107086,0.2457731068134308,0.00041524204425513744,0.019056173041462898,0.00041524204425513744,0.24610528349876404,0.0010000000474974513
0.07475610822439194,0.24717004597187042,0.07475610822439194,0.0004510365833994001,0.01681489497423172,0.0004510365833994001,0.07511693984270096,0.24552612006664276,0.4955058991909027,0.24552612006664276,0.0004172908666078001,0.019109854474663734,0.0004172908666078001,0.24585995078086853,0.0010000000474974513
0.07466138899326324,0.2470039576292038,0.07466138899326324,0.0004507590492721647,0.016826823353767395,0.0004507590492721647,0.07502199709415436,0.24527940154075623,0.4952569007873535,0.24527940154075623,0.0004220496048219502,0.019233960658311844,0.0004220496048219502,0.2456170618534088,0.0010000000474974513
0.07456684857606888,0.24683792889118195,0.07456684857606888,0.0004501393996179104,0.016854403540492058,0.0004501393996179104,0.07492695748806,0.2450329065322876,0.4950079917907715,0.2450329065322876,0.00042915850644931197,0.019417881965637207,0.00042915850644931197,0.24537622928619385,0.0010000000474974513
0.07447246462106705,0.24667198956012726,0.07447246462106705,0.0004492777807172388,0.016895273700356483,0.0004492777807172388,0.07483188807964325,0.24478666484355927,0.4947591722011566,0.24478666484355927,0.0004382542392704636,0.019650695845484734,0.0004382542392704636,0.2451372593641281,0.0010000000474974513
0.07437826693058014,0.24650613963603973,0.07437826693058014,0.00044828414684161544,0.016947010532021523,0.00044828414684161544,0.07473689317703247,0.24454066157341003,0.49451056122779846,0.24454066157341003,0.00044896756298840046,0.019921425729990005,0.00044896756298840046,0.24489983916282654,0.0010000000474974513
0.07428422570228577,0.24634034931659698,0.07428422570228577,0.0004472650762181729,0.017007172107696533,0.0004472650762181729,0.07464203983545303,0.24429485201835632,0.4942619204521179,0.24429485201835632,0.0004609202442225069,0.020219195634126663,0.0004609202442225069,0.2446635663509369,0.0010000000474974513
