model_type,timeframe,architecture,trial_id,composite_score,val_accuracy,val_auc,val_loss,accuracy,hp_num_conv1d_layers,hp_filters,hp_kernel_size,hp_padding,hp_activation,hp_kernel_initializer,hp_add_pooling_0,hp_pool_size,hp_strides,hp_num_dense_layers,hp_units,hp_bias_initializer,hp_dropout_rate,hp_learning_rate,hp_focal_gamma,hp_focal_alpha,hp_add_pooling_1,hp_add_pooling_2,hp_num_conv_layers,hp_num_lstm_layers,hp_units_first,hp_forget_bias,hp_dropout,hp_recurrent_dropout,hp_num_GRU_layers,hp_num_LSTM_layers
sell_signal,,Conv1D,020,0.8024636209011078,0.9946874976158142,0.48779359459877014,6.800174713134766,0.9950390458106995,3.0,64.0,3.0,same,gelu,glorot_normal,False,2.0,2.0,1,32,zeros,0.30000000000000004,0.0020726454842745537,2.5,0.8,False,False,,,,,,,,
sell_signal,,Conv1D,021,-3.7223550438880917,0.9946874976158142,0.5,52.17042541503906,0.994921863079071,1.0,128.0,5.0,valid,relu,he_normal,False,3.0,1.0,2,64,zeros,0.30000000000000004,0.000688702391905252,1.0,0.2,False,True,,,,,,,,
sell_signal,,Conv1D,022,0.3790933966636658,0.9946874976158142,0.5,11.155941009521484,0.9951171875,1.0,128.0,5.0,same,relu,he_normal,False,3.0,1.0,1,32,zeros,0.2,0.003260301461846653,1.5,0.5,True,False,,,,,,,,
sell_signal,,Conv1D,023,0.2551409602165222,0.9946874976158142,0.5001571178436279,12.3970365524292,0.9950390458106995,1.0,32.0,3.0,same,relu,glorot_normal,False,3.0,2.0,2,32,he_normal,0.2,0.0027567445342449115,2.0,0.2,False,False,,,,,,,,
sell_signal,,Conv1D,024,-0.28913971185684195,0.9946874976158142,0.5,17.838272094726562,0.9950000047683716,3.0,64.0,7.0,same,relu,he_normal,True,2.0,1.0,2,64,glorot_normal,0.5,0.006838349735093645,1.5,0.7000000000000001,True,True,,,,,,,,
sell_signal,,Conv1D,025,-3.1723203599452976,0.9944531321525574,0.4975259006023407,46.64299392700195,0.659375011920929,2.0,32.0,3.0,valid,relu,he_normal,True,2.0,2.0,2,96,he_normal,0.4,0.00033451441046197393,2.0,0.2,True,True,,,,,,,,
sell_signal,,Conv1D,026,-0.18545284271240225,0.657421886920929,0.4829632639884949,13.258379936218262,0.6416797041893005,2.0,32.0,5.0,same,gelu,glorot_normal,True,3.0,2.0,1,32,zeros,0.2,0.00021347610418606298,3.0,0.8,True,True,,,,,,,,
sell_signal,,Conv1D,027,-2.9405566453933716,0.9946093559265137,0.5333417654037476,44.68507766723633,0.9554296731948853,3.0,32.0,3.0,valid,relu,he_normal,True,3.0,2.0,2,128,he_normal,0.2,0.0005691214031067918,2.0,0.2,True,True,,,,,,,,
sell_signal,,Conv1D,028,-5.245084089040756,0.9946874976158142,0.49988219141960144,67.39653778076172,0.9950390458106995,1.0,64.0,5.0,same,relu,he_normal,True,2.0,1.0,1,128,he_normal,0.5,0.0010575697475283586,1.0,0.5,True,False,,,,,,,,
sell_signal,,Conv1D,029,-2.6571930885314945,0.9946874976158142,0.529081404209137,41.80961990356445,0.9949609637260437,3.0,32.0,7.0,same,gelu,he_normal,True,3.0,2.0,2,128,zeros,0.1,0.0017311246306854196,1.0,0.2,True,True,,,,,,,,
sell_signal,,Conv1D,030,-2.987528383731842,0.9946874976158142,0.5,44.82215881347656,0.9954296946525574,1.0,64.0,7.0,same,gelu,glorot_normal,True,3.0,1.0,2,96,zeros,0.4,0.006086137545191556,2.5,0.2,False,True,,,,,,,,
sell_signal,,Conv1D,031,-2.619348180294037,0.9940624833106995,0.4994502067565918,41.12860870361328,0.9939844012260437,1.0,128.0,3.0,valid,relu,glorot_normal,True,3.0,2.0,1,64,zeros,0.1,0.00022102350500721615,2.5,0.7000000000000001,False,True,,,,,,,,
sell_signal,,Conv1D,032,-1.1718518853187563,0.9946874976158142,0.5,26.665393829345703,0.9950390458106995,2.0,96.0,7.0,same,relu,glorot_normal,False,3.0,1.0,2,32,zeros,0.2,0.0001231642465909657,1.0,0.9,False,True,,,,,,,,
sell_signal,,Conv1D,033,-1.7167737066745756,0.9946093559265137,0.4992538392543793,32.10636901855469,0.9951953291893005,3.0,32.0,7.0,valid,relu,glorot_normal,False,2.0,1.0,1,96,he_normal,0.1,0.000581434737371341,2.5,0.5,False,False,,,,,,,,
sell_signal,,Conv1D,034,-2.2420533776283262,0.9946874976158142,0.5,37.367408752441406,0.9950390458106995,2.0,128.0,5.0,same,relu,glorot_normal,False,3.0,2.0,2,96,glorot_normal,0.1,0.0028168240891253142,1.0,0.9,True,True,,,,,,,,
sell_signal,,Conv1D,035,-0.961863100528717,0.9946874976158142,0.5,24.565505981445312,0.9951171875,3.0,96.0,5.0,same,relu,glorot_normal,True,3.0,1.0,2,64,zeros,0.1,0.0018144908224752639,1.0,0.9,True,False,,,,,,,,
sell_signal,,Conv1D,036,-10.126059007644653,0.9946874976158142,0.4755623936653137,115.96308898925781,0.9874218702316284,2.0,64.0,5.0,same,gelu,glorot_normal,True,3.0,1.0,2,128,glorot_normal,0.4,0.0004600955422725711,1.0,0.2,True,False,,,,,,,,
sell_signal,,Conv1D,037,-4.737099611759186,0.9946874976158142,0.5,62.31787109375,0.730664074420929,1.0,96.0,7.0,same,gelu,he_normal,True,2.0,1.0,2,64,glorot_normal,0.2,0.000602836972293706,2.5,0.5,False,False,,,,,,,,
sell_signal,,Conv1D,038,-5.3701504409313205,0.9946874976158142,0.4998036324977875,68.64641571044922,0.9950390458106995,1.0,64.0,7.0,same,gelu,he_normal,True,2.0,1.0,2,128,he_normal,0.2,0.0027797935227671933,2.5,0.4,True,False,,,,,,,,
sell_signal,,Conv1D,039,-0.7357833504676821,0.9946874976158142,0.5121088027954102,22.425796508789062,0.9950390458106995,1.0,32.0,7.0,same,gelu,glorot_normal,False,3.0,1.0,1,64,zeros,0.1,0.0033178639809267113,1.5,0.7000000000000001,True,True,,,,,,,,
sell_signal,,Conv1D,040,-2.840018999576569,0.9946874976158142,0.5,43.34706497192383,0.9947656393051147,1.0,128.0,5.0,same,relu,glorot_normal,False,2.0,2.0,2,128,zeros,0.2,0.004817411854480006,1.0,0.1,False,True,,,,,,,,
sell_signal,,Conv1D,041,-2.281189131736755,0.9946093559265137,0.5071860551834106,37.8298454284668,0.9949609637260437,1.0,32.0,3.0,same,relu,glorot_normal,False,3.0,1.0,1,96,glorot_normal,0.30000000000000004,0.001073016218061893,3.0,0.30000000000000004,True,False,,,,,,,,
sell_signal,,Conv1D,042,-6.301377260684967,0.9946874976158142,0.5,77.96064758300781,0.9955078363418579,2.0,96.0,5.0,valid,relu,glorot_normal,True,3.0,1.0,2,96,zeros,0.30000000000000004,0.00016532573957315442,2.0,0.5,True,False,,,,,,,,
sell_signal,,Conv1D,043,-0.5021047353744508,0.9946874976158142,0.500471293926239,19.97263526916504,0.9949609637260437,2.0,32.0,7.0,same,relu,he_normal,True,3.0,1.0,1,64,glorot_normal,0.2,0.0013822274593552758,3.0,0.4,True,False,,,,,,,,
sell_signal,,Conv1D,044,-2.03185373544693,0.9946874976158142,0.5001177787780762,35.2665901184082,0.9951562285423279,2.0,64.0,3.0,same,relu,glorot_normal,True,3.0,1.0,2,64,glorot_normal,0.30000000000000004,0.0017259745092203106,1.5,0.6,True,True,,,,,,,,
sell_signal,,Conv1D,045,-1.5609532833099364,0.9946874976158142,0.5172308087348938,30.728715896606445,0.9950000047683716,2.0,32.0,3.0,same,gelu,glorot_normal,True,3.0,2.0,1,128,zeros,0.2,0.008453355630521282,2.0,0.6,False,True,,,,,,,,
sell_signal,,Conv1D,046,-3.2409410119056705,0.9946874976158142,0.5,47.356285095214844,0.9950781464576721,2.0,96.0,3.0,same,gelu,he_normal,False,2.0,1.0,1,96,zeros,0.30000000000000004,0.0010153958908885,2.5,0.2,True,False,,,,,,,,
sell_signal,,Conv1D,047,-0.6735263228416444,0.9946874976158142,0.4602276086807251,21.284414291381836,0.9217187762260437,3.0,96.0,7.0,valid,gelu,glorot_normal,False,2.0,1.0,2,32,he_normal,0.2,0.0010176040617332672,2.0,0.6,False,False,,,,,,,,
sell_signal,,Conv1D,048,-9.174566602706909,0.9946874976158142,0.4737299084663391,106.42984008789062,0.9458203315734863,2.0,128.0,7.0,same,gelu,glorot_normal,True,3.0,1.0,2,96,zeros,0.4,0.0008213805680931154,2.0,0.1,False,False,,,,,,,,
sell_signal,,Conv1D,049,-7.827369803190232,0.171875,0.45362308621406555,84.52867889404297,0.27574217319488525,3.0,128.0,7.0,valid,gelu,he_normal,False,3.0,2.0,2,96,glorot_normal,0.2,0.00024359196179105856,3.0,0.8,True,True,,,,,,,,
sell_signal,,Conv1D,050,-3.4524463010020554,0.0053906249813735485,0.500039279460907,39.57876205444336,0.27738282084465027,2.0,128.0,3.0,valid,relu,he_normal,False,2.0,2.0,2,32,glorot_normal,0.1,0.0002500476093354716,2.0,0.4,False,True,,,,,,,,
sell_signal,,Conv1D,051,-6.365375351905823,0.7659375071525574,0.4290081858634949,75.60321044921875,0.6360156536102295,1.0,32.0,3.0,valid,gelu,glorot_normal,False,2.0,1.0,2,64,he_normal,0.5,0.00028839092033162804,1.0,0.9,True,False,,,,,,,,
sell_signal,,Conv1D,052,0.007840806245803744,0.9946874976158142,0.49787935614585876,14.847260475158691,0.9952343702316284,3.0,64.0,7.0,same,gelu,glorot_normal,True,3.0,2.0,1,64,he_normal,0.30000000000000004,0.002117796522475039,2.5,0.30000000000000004,False,True,,,,,,,,
sell_signal,,Conv1D,053,0.6307926595211029,0.9946874976158142,0.4697069227695465,8.336017608642578,0.9952343702316284,3.0,128.0,7.0,same,gelu,glorot_normal,True,2.0,2.0,1,32,he_normal,0.4,0.003920143237423156,2.0,0.5,False,False,,,,,,,,
sell_signal,,Conv1D,054,1.180731976032257,0.9946874976158142,0.5002748966217041,3.1423041820526123,0.9951562285423279,3.0,32.0,5.0,same,relu,glorot_normal,False,3.0,2.0,1,32,zeros,0.2,0.01,1.0,0.4,True,True,,,,,,,,
sell_signal,,Conv1D,055,1.1467987656593324,0.9946874976158142,0.5,3.4788873195648193,0.9950781464576721,3.0,32.0,5.0,same,relu,he_normal,True,2.0,2.0,1,32,he_normal,0.1,0.01,2.0,0.6,False,False,,,,,,,,
sell_signal,,Conv1D,056,1.0947559237480164,0.9946874976158142,0.5,3.9993157386779785,0.9951171875,3.0,32.0,5.0,valid,relu,glorot_normal,True,3.0,1.0,1,32,zeros,0.4,0.01,3.0,0.9,False,True,,,,,,,,
sell_signal,,Conv1D,057,1.0855003237724303,0.9946874976158142,0.5,4.091871738433838,0.9950781464576721,1.0,32.0,7.0,same,relu,he_normal,True,3.0,2.0,1,32,zeros,0.4,0.01,3.0,0.4,False,True,,,,,,,,
sell_signal,,Conv1D,058,0.9987460017204285,0.9946874976158142,0.5,4.959414958953857,0.9950000047683716,3.0,64.0,5.0,valid,relu,he_normal,False,2.0,1.0,1,32,he_normal,0.30000000000000004,0.01,2.5,0.1,True,False,,,,,,,,
sell_signal,,Conv1D,059,0.7440089583396912,0.9946874976158142,0.5,7.5067853927612305,0.9953515529632568,3.0,128.0,5.0,same,relu,glorot_normal,False,3.0,1.0,1,32,glorot_normal,0.1,0.01,1.5,0.9,False,False,,,,,,,,
sell_signal,,Conv1D,060,0.9303290486335755,0.9946874976158142,0.500078558921814,5.644370079040527,0.995312511920929,3.0,32.0,3.0,same,relu,he_normal,True,3.0,2.0,1,32,zeros,0.1,0.00139162521057502,2.5,0.9,True,False,,,,,,,,
sell_signal,,Conv1D,061,1.0275961637496949,0.9946874976158142,0.532474935054779,4.995662689208984,0.9951562285423279,3.0,32.0,7.0,same,gelu,he_normal,True,2.0,2.0,1,32,he_normal,0.2,0.01,2.5,0.4,True,True,,,,,,,,
sell_signal,,Conv1D,062,1.1073947072029113,0.9946874976158142,0.5,3.8729279041290283,0.994921863079071,3.0,64.0,7.0,same,relu,glorot_normal,False,2.0,2.0,1,32,he_normal,0.5,0.01,1.5,0.5,False,True,,,,,,,,
sell_signal,,Conv1D,063,1.2329108834266662,0.9946874976158142,0.5,2.6177661418914795,0.9949609637260437,3.0,32.0,7.0,valid,relu,glorot_normal,True,3.0,2.0,1,32,he_normal,0.2,0.01,3.0,0.30000000000000004,True,False,,,,,,,,
sell_signal,,Conv1D,064,0.9160791754722595,0.9946874976158142,0.5,5.786083221435547,0.994921863079071,3.0,128.0,3.0,same,relu,glorot_normal,False,2.0,2.0,2,32,zeros,0.1,0.01,1.0,0.7000000000000001,True,False,,,,,,,,
sell_signal,,Conv1D,065,0.85307377576828,0.9946874976158142,0.5,6.416137218475342,0.9949609637260437,3.0,64.0,7.0,valid,relu,he_normal,True,2.0,1.0,1,32,zeros,0.1,0.01,1.0,0.8,True,False,,,,,,,,
sell_signal,,Conv1D,066,1.1538739562034608,0.9946874976158142,0.5,3.408135414123535,0.9950000047683716,3.0,128.0,3.0,same,relu,glorot_normal,True,3.0,2.0,1,32,zeros,0.5,0.01,2.5,0.9,True,True,,,,,,,,
sell_signal,,Conv1D,067,1.0760542631149292,0.9946874976158142,0.500039279460907,4.18672513961792,0.9952734112739563,3.0,32.0,7.0,same,gelu,glorot_normal,True,3.0,2.0,1,32,zeros,0.1,0.01,1.5,0.9,False,True,,,,,,,,
sell_signal,,Conv1D,068,1.144728535413742,0.9946874976158142,0.49984291195869446,3.498018741607666,0.9950390458106995,1.0,32.0,3.0,same,gelu,glorot_normal,True,3.0,2.0,1,32,zeros,0.1,0.01,3.0,0.1,True,True,,,,,,,,
sell_signal,,Conv1D,069,-0.5378359973430635,0.9938281178474426,0.49367329478263855,20.253374099731445,0.9941796660423279,3.0,128.0,3.0,same,relu,glorot_normal,False,3.0,2.0,1,32,zeros,0.1,0.00010274862478856935,1.0,0.9,True,False,,,,,,,,
sell_signal,,Conv1D,070,0.8179157614707947,0.9946874976158142,0.5,6.767717361450195,0.9949609637260437,1.0,32.0,3.0,same,relu,glorot_normal,False,3.0,2.0,2,32,zeros,0.30000000000000004,0.01,2.0,0.9,False,True,,,,,,,,
sell_signal,,Conv1D,071,1.137309181690216,0.9946874976158142,0.5001963376998901,3.575746536254883,0.9947656393051147,3.0,32.0,3.0,same,gelu,glorot_normal,True,3.0,2.0,1,32,he_normal,0.5,0.01,3.0,0.4,False,True,,,,,,,,
sell_signal,,Conv1D,072,1.0857734560966492,0.9946874976158142,0.5,4.08914041519165,0.9951562285423279,1.0,32.0,7.0,same,relu,glorot_normal,False,3.0,1.0,1,32,zeros,0.1,0.01,3.0,0.1,False,True,,,,,,,,
sell_signal,,Conv1D,073,1.1008330702781677,0.9946874976158142,0.5,3.938544273376465,0.9951562285423279,3.0,128.0,3.0,valid,relu,he_normal,True,2.0,2.0,1,32,he_normal,0.5,0.01,1.0,0.1,True,True,,,,,,,,
sell_signal,,Conv1D,074,1.1017808794975281,0.9946874976158142,0.5,3.9290661811828613,0.9949609637260437,3.0,64.0,7.0,valid,relu,glorot_normal,True,2.0,1.0,1,32,he_normal,0.30000000000000004,0.01,3.0,0.8,False,False,,,,,,,,
sell_signal,,Conv1D,075,0.6438248038291932,0.9946874976158142,0.5,8.508626937866211,0.9949609637260437,3.0,128.0,3.0,same,relu,he_normal,False,2.0,1.0,1,32,zeros,0.5,0.01,1.0,0.9,True,True,,,,,,,,
sell_signal,,Conv1D,076,0.8149629950523376,0.9717968702316284,0.5095832943916321,6.6641716957092285,0.9608593583106995,3.0,32.0,7.0,valid,relu,he_normal,True,2.0,2.0,1,32,he_normal,0.1,0.00014870344611825036,1.0,0.1,True,False,,,,,,,,
sell_signal,,Conv1D,077,1.1824128389358521,0.9946874976158142,0.5053709149360657,3.1764557361602783,0.9951171875,3.0,32.0,7.0,valid,gelu,glorot_normal,False,2.0,2.0,1,32,he_normal,0.1,0.01,1.0,0.1,False,False,,,,,,,,
sell_signal,,Conv1D,078,1.0910844206809998,0.9946874976158142,0.5,4.0360307693481445,0.9951562285423279,3.0,32.0,7.0,valid,relu,he_normal,True,2.0,2.0,2,32,he_normal,0.5,0.01,2.5,0.1,False,True,,,,,,,,
sell_signal,,Conv1D,079,1.0081735014915467,0.9946874976158142,0.5,4.865139961242676,0.9950390458106995,1.0,32.0,7.0,same,relu,he_normal,False,2.0,2.0,1,32,zeros,0.1,0.01,1.0,0.1,True,False,,,,,,,,
sell_signal,,Conv1D,080,0.972667109966278,0.9946874976158142,0.5,5.220203876495361,0.9953906536102295,3.0,128.0,3.0,same,relu,he_normal,False,3.0,2.0,1,32,he_normal,0.1,0.01,1.0,0.1,True,True,,,,,,,,
sell_signal,,Conv1D,081,1.0753765940666198,0.9946874976158142,0.5,4.193109035491943,0.9948828220367432,1.0,32.0,7.0,same,relu,glorot_normal,False,3.0,2.0,1,32,zeros,0.1,0.01,3.0,0.9,True,False,,,,,,,,
sell_signal,,Conv1D,082,0.46885238289833064,0.990234375,0.4967404901981354,10.181224822998047,0.9898437261581421,3.0,32.0,7.0,same,relu,glorot_normal,True,2.0,2.0,1,32,zeros,0.1,0.00022642522580726686,2.5,0.9,False,False,,,,,,,,
sell_signal,,Conv1D,083,1.2549760222434998,0.9946874976158142,0.5051306486129761,2.4484212398529053,0.9952734112739563,1.0,32.0,7.0,same,gelu,glorot_normal,False,3.0,2.0,1,32,zeros,0.5,0.01,2.0,0.2,False,True,,,,,,,,
sell_signal,,Conv1D,084,0.9161527037620545,0.9942968487739563,0.5000392198562622,5.781833648681641,0.9938281178474426,3.0,32.0,3.0,same,relu,he_normal,True,2.0,2.0,1,32,zeros,0.5,0.000547938216801923,1.0,0.1,True,True,,,,,,,,
sell_signal,,Conv1D,085,0.9891458988189697,0.9946093559265137,0.5002748966217041,5.0573835372924805,0.9944531321525574,3.0,32.0,7.0,valid,relu,he_normal,True,2.0,2.0,1,32,zeros,0.5,0.001093413000769255,3.0,0.4,True,False,,,,,,,,
sell_signal,,Conv1D,086,0.9142595827579498,0.9878125190734863,0.49368539452552795,5.6723833084106445,0.9897656440734863,3.0,32.0,7.0,same,relu,he_normal,True,3.0,2.0,1,32,zeros,0.5,0.00016899076911194928,1.0,0.9,True,True,,,,,,,,
sell_signal,,Conv1D,087,0.9514988541603089,0.9947656393051147,0.5077785849571228,5.510453701019287,0.995312511920929,3.0,32.0,7.0,same,relu,he_normal,True,3.0,2.0,1,32,he_normal,0.5,0.0005574915756834628,2.0,0.1,True,True,,,,,,,,
sell_signal,,Conv1D,088,0.7391482472419739,0.9896093606948853,0.5196806788444519,7.701417922973633,0.9919140338897705,3.0,32.0,3.0,same,relu,glorot_normal,True,3.0,2.0,1,32,zeros,0.5,0.000210914566035642,1.0,0.9,False,True,,,,,,,,
sell_signal,,Conv1D,089,1.2667946696281434,0.9946874976158142,0.5,2.278928279876709,0.9953515529632568,3.0,32.0,7.0,valid,relu,he_normal,True,3.0,2.0,1,32,zeros,0.5,0.01,1.0,0.1,True,True,,,,,,,,
sell_signal,,Conv1D,090,0.9671421349048615,0.9912499785423279,0.4999607503414154,5.240685939788818,0.9889453053474426,3.0,32.0,3.0,valid,relu,he_normal,True,3.0,2.0,1,32,zeros,0.1,0.00033225081385799296,1.0,0.1,True,True,,,,,,,,
sell_signal,,Conv1D,091,1.0935767054557801,0.9946874976158142,0.5,4.011107921600342,0.9950000047683716,3.0,128.0,3.0,valid,relu,glorot_normal,True,2.0,2.0,1,32,zeros,0.1,0.01,1.0,0.1,False,True,,,,,,,,
sell_signal,,Conv1D,092,1.1447028279304505,0.9946874976158142,0.5,3.4998466968536377,0.9950000047683716,3.0,128.0,7.0,valid,relu,glorot_normal,True,2.0,2.0,1,32,zeros,0.5,0.01,1.0,0.9,False,True,,,,,,,,
sell_signal,,Conv1D,093,1.038753592967987,0.9946874976158142,0.5,4.5593390464782715,0.9950781464576721,3.0,32.0,7.0,same,relu,he_normal,True,2.0,2.0,2,32,zeros,0.5,0.01,1.0,0.9,False,True,,,,,,,,
sell_signal,,Conv1D,094,1.0555819392204284,0.9946874976158142,0.5,4.391055583953857,0.9951953291893005,1.0,32.0,3.0,same,relu,he_normal,False,3.0,2.0,1,32,zeros,0.5,0.01,3.0,0.1,True,False,,,,,,,,
sell_signal,,Conv1D,095,1.2253390669822692,0.9946874976158142,0.5,2.693484306335449,0.9954296946525574,3.0,128.0,7.0,valid,relu,glorot_normal,True,2.0,2.0,1,32,zeros,0.5,0.01,3.0,0.1,True,True,,,,,,,,
sell_signal,,Conv1D,096,1.0554624438285827,0.9946874976158142,0.5,4.3922505378723145,0.9951562285423279,1.0,32.0,7.0,valid,relu,glorot_normal,True,3.0,2.0,1,32,zeros,0.5,0.01,3.0,0.5,True,True,,,,,,,,
sell_signal,,Conv1D,097,1.1260923504829408,0.9946874976158142,0.5433992147445679,4.119943618774414,0.9950390458106995,3.0,32.0,7.0,valid,gelu,he_normal,True,3.0,2.0,1,32,he_normal,0.1,0.01,1.0,0.1,False,True,,,,,,,,
sell_signal,,Conv1D,098,1.199403417110443,0.9946874976158142,0.5,2.952840805053711,0.9950390458106995,3.0,32.0,3.0,valid,relu,glorot_normal,False,3.0,1.0,1,32,he_normal,0.1,0.01,1.5,0.1,False,False,,,,,,,,
sell_signal,,Conv1D,099,0.8484208822250366,0.9944531321525574,0.500039279460907,6.460715293884277,0.9949609637260437,3.0,32.0,3.0,same,relu,glorot_normal,True,2.0,2.0,1,32,he_normal,0.1,0.0006733910621767706,3.0,0.1,True,False,,,,,,,,
sell_signal,,Conv1D,100,1.2108880758285523,0.9946874976158142,0.5031896233558655,2.8698904514312744,0.9950781464576721,1.0,32.0,3.0,same,gelu,he_normal,False,3.0,2.0,1,32,zeros,0.1,0.01,1.0,0.1,False,True,,,,,,,,
