model_type,trial_id,val_loss,val_accuracy,accuracy,composite_score,num_GRU_layers,units_first,activation,kernel_initializer,dropout,recurrent_dropout,num_dense_layers,units,bias_initializer,dropout_rate,learning_rate,focal_gamma,focal_alpha
sell_trials_GRU,090,878.9254760742188,0.9946874976158142,0.9952343702316284,0.6157620215415954,3,32,relu,glorot_normal,0.4,0.4,1,128,zeros,0.1,0.01,1.0,0.9
sell_trials_GRU,091,124.86857604980469,0.9946874976158142,0.9950390458106995,1.3698189215660095,1,128,relu,he_normal,0.4,0.4,2,128,he_normal,0.1,0.01,3.0,0.1
sell_trials_GRU,092,87.47115325927734,0.9946874976158142,0.994921863079071,1.4072163443565369,1,128,relu,glorot_normal,0.4,0.4,1,128,zeros,0.1,0.01,3.0,0.9
sell_trials_GRU,093,469.2525634765625,0.9946874976158142,0.9955859184265137,1.0254349341392517,3,128,relu,glorot_normal,0.4,0.1,1,128,zeros,0.1,0.0008884993777743012,1.0,0.9
sell_trials_GRU,094,1150.4346923828125,0.0053125000558793545,0.25214844942092896,-0.6152276019491256,1,128,relu,glorot_normal,0.4,0.4,2,32,he_normal,0.1,0.0001,3.0,0.9
sell_trials_GRU,095,42.71271896362305,0.9946874976158142,0.9951171875,1.4516606025695802,1,32,relu,he_normal,0.4,0.1,1,128,zeros,0.2,0.0015687392193854636,1.0,0.1
sell_trials_GRU,096,27.27465057373047,0.9946874976158142,0.9951562285423279,1.4674128470420837,1,32,relu,he_normal,0.4,0.4,2,32,he_normal,0.30000000000000004,0.004327642731351945,3.0,0.9
sell_trials_GRU,097,237.78759765625,0.9946874976158142,0.9951562285423279,1.285765892982483,1,32,relu,he_normal,0.1,0.4,1,128,zeros,0.1,0.00026266431539540794,3.0,0.1
sell_trials_GRU,098,1456.202392578125,0.9946874976158142,0.9242187738418579,0.038485105037689316,3,32,relu,glorot_normal,0.4,0.4,2,32,zeros,0.5,0.0001,3.0,0.9
sell_trials_GRU,099,288.79083251953125,0.9946874976158142,0.8308984637260437,1.2058215930461884,1,32,relu,glorot_normal,0.4,0.4,2,32,he_normal,0.5,0.0001,1.0,0.9
sell_trials_GRU,100,1091.8177490234375,0.9946874976158142,0.6434375047683716,0.40646533918380734,1,128,relu,glorot_normal,0.4,0.1,2,128,he_normal,0.4,0.0001,1.0,0.9
sell_trials_GRU,101,108.97264862060547,0.9946874976158142,0.9950390458106995,1.3857148489952087,1,128,relu,he_normal,0.4,0.1,1,128,he_normal,0.5,0.01,2.0,0.1
sell_trials_GRU,102,1130.6578369140625,0.9946874976158142,0.9937499761581421,0.36245881009101866,1,128,relu,glorot_normal,0.15000000000000002,0.4,2,128,he_normal,0.1,0.0001,3.0,0.1
sell_trials_GRU,103,81.65838623046875,0.9946874976158142,0.9926562309265137,1.4130291113853455,1,32,relu,glorot_normal,0.1,0.4,2,128,he_normal,0.5,0.0012421440048537343,1.0,0.1
sell_trials_GRU,104,80.77705383300781,0.9946874976158142,0.9951562285423279,1.4139104437828065,1,128,relu,glorot_normal,0.4,0.4,1,32,he_normal,0.1,0.01,3.0,0.1
sell_trials_GRU,105,100.36630249023438,0.9946874976158142,0.994921863079071,1.3943211951255798,1,128,relu,glorot_normal,0.1,0.4,2,128,zeros,0.1,0.01,3.0,0.1
sell_trials_GRU,106,39.201324462890625,0.9946874976158142,0.9949609637260437,1.4554861731529236,1,32,relu,he_normal,0.1,0.1,2,128,he_normal,0.5,0.01,1.0,0.9
sell_trials_GRU,107,80.86238861083984,0.9946874976158142,0.9951953291893005,1.4138251090049743,1,128,relu,glorot_normal,0.4,0.4,1,32,he_normal,0.5,0.01,1.0,0.1
sell_trials_GRU,108,1079.94921875,0.9900781512260437,0.6333203315734863,0.41012893247604376,1,128,relu,glorot_normal,0.4,0.4,2,128,zeros,0.5,0.0001,3.0,0.9
sell_trials_GRU,109,278.8064270019531,0.9946874976158142,0.8596875071525574,1.2183944196701049,1,32,relu,glorot_normal,0.1,0.4,2,32,zeros,0.4,0.0001,3.0,0.9
sell_trials_GRU,110,333.3211669921875,0.9946874976158142,0.7662890553474426,1.1687216033935548,1,32,relu,glorot_normal,0.4,0.1,2,128,zeros,0.5,0.0001,1.0,0.9
sell_trials_GRU,111,105.494140625,0.9946874976158142,0.9951562285423279,1.3891933569908141,1,128,relu,he_normal,0.4,0.1,1,128,he_normal,0.1,0.01,1.0,0.9
sell_trials_GRU,112,80.28814697265625,0.9946874976158142,0.9955078363418579,1.414399350643158,1,128,relu,glorot_normal,0.4,0.1,1,32,he_normal,0.5,0.01,1.0,0.9
sell_trials_GRU,113,251.28598022460938,0.9946874976158142,0.9952343702316284,1.243401517391205,1,128,relu,glorot_normal,0.4,0.4,2,128,zeros,0.1,0.001346708375531733,1.0,0.9
sell_trials_GRU,114,1114.637451171875,0.0053125000558793545,0.3092968761920929,-0.6161263775266708,1,128,relu,glorot_normal,0.4,0.4,1,32,he_normal,0.5,0.0001,3.0,0.9
sell_trials_GRU,115,289.5006103515625,0.009218749590218067,0.2523437440395355,0.24312136656790972,1,32,relu,glorot_normal,0.4,0.4,1,32,zeros,0.30000000000000004,0.0001,3.0,0.9
sell_trials_GRU,116,698.3831176757812,0.9946874976158142,0.9954296946525574,0.796304379940033,3,128,relu,glorot_normal,0.1,0.4,2,32,he_normal,0.1,0.01,3.0,0.9
sell_trials_GRU,117,327.5263671875,0.0053125000558793545,0.07207031548023224,0.1887415857873857,1,32,relu,glorot_normal,0.1,0.1,2,128,zeros,0.1,0.0001,3.0,0.1
sell_trials_GRU,118,332.3878479003906,0.0053125000558793545,0.0073046875186264515,0.17292465215548875,3,32,relu,glorot_normal,0.1,0.4,2,32,he_normal,0.1,0.0001,3.0,0.9
sell_trials_GRU,119,85.62094116210938,0.9946874976158142,0.9951562285423279,1.4090665564537048,1,128,relu,he_normal,0.4,0.4,1,32,he_normal,0.5,0.01,3.0,0.9
sell_trials_GRU,120,352.8791809082031,0.9946874976158142,0.9952343702316284,1.141808316707611,3,128,relu,glorot_normal,0.4,0.4,2,32,he_normal,0.5,0.01,3.0,0.9
sell_trials_GRU,121,354.8656921386719,0.9946874976158142,0.9851171970367432,1.1425776858329773,1,32,relu,he_normal,0.1,0.1,1,128,he_normal,0.1,0.0001642446818003926,1.0,0.9
sell_trials_GRU,122,27.426164627075195,0.9946874976158142,0.9951171875,1.467261332988739,1,32,relu,he_normal,0.1,0.1,1,128,zeros,0.5,0.01,3.0,0.1
